place_id,name,dow,day,hour,busyness_pct,level,model_version
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,1,14,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,2,14,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,3,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,4,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,5,21,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,6,28,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,7,25,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,8,29,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,9,39,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,10,43,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,11,47,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,12,59,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,13,69,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,14,66,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,15,65,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,16,53,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,17,55,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,18,59,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,19,75,very_busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,20,68,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,21,61,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,22,47,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,2,wednesday,23,39,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,0,27,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,1,17,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,2,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,3,17,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,4,17,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,5,22,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,6,26,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,7,23,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,8,26,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,9,33,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,10,38,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,11,41,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,12,46,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,13,46,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,14,44,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,15,42,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,16,41,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,17,52,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,18,63,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,19,75,very_busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,20,68,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,21,59,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,22,50,busy,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,3,thursday,23,39,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,0,31,moderate,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,1,18,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,2,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,3,16,quiet,gbm_v1
ChIJ-2tIv1VYwokRO4ySA2GC9is,Palace Theatre,4,friday,4,17,quiet,gbm_v1
