bbl,latitude,longitude,bldgclass,landuse,lotarea,bldgarea,numfloors,unitsres,unitstotal,yearbuilt,footprint_area
1015610001.0,40.7736798,-73.9511832,D6,4.0,15973.0,210428.0,21.0,199.0,205.0,1964.0,10020.380952380952
1015600012.0,40.7727548,-73.95096,C1,2.0,2554.0,9295.0,5.0,20.0,20.0,1925.0,1859.0
1015600037.0,40.7730072,-73.9507793,O2,5.0,2554.0,3176.0,2.0,0.0,1.0,1952.0,1588.0
1015600013.0,40.7727218,-73.9508842,C1,2.0,2554.0,9295.0,5.0,18.0,18.0,1925.0,1859.0
1015600038.0,40.7730402,-73.9508587,C1,2.0,2554.0,11000.0,5.0,20.0,20.0,1910.0,2200.0
1015620002.0,40.7743412,-73.9508614,C7,4.0,2042.0,8055.0,5.0,8.0,9.0,1920.0,1611.0
1015620038.0,40.7743079,-73.9499335,C6,2.0,2554.0,8345.0,5.0,22.0,22.0,1930.0,1669.0
1015620043.0,40.7744755,-73.9503306,C1,2.0,2554.0,8284.0,5.0,20.0,20.0,1930.0,1656.8
1015620047.0,40.7745799,-73.9506879,C7,4.0,2000.0,7750.0,5.0,8.0,10.0,1915.0,1550.0
1015630001.0,40.7749064,-73.9504385,C7,4.0,2281.0,10865.0,5.0,16.0,18.0,1915.0,2173.0
1015620012.0,40.7740252,-73.9500348,C1,2.0,2605.0,7930.0,5.0,20.0,20.0,1910.0,1586.0
1015620045.0,40.7747061,-73.9505976,C7,4.0,2173.0,10350.0,5.0,12.0,14.0,1930.0,2070.0
1015620044.0,40.7745084,-73.9504063,C1,2.0,2554.0,9250.0,5.0,20.0,20.0,1930.0,1850.0
1015620042.0,40.7744425,-73.9502511,D3,3.0,2554.0,10875.0,5.0,20.0,20.0,1920.0,2175.0
1015630039.0,40.7749142,-73.9493987,B1,1.0,1703.0,3336.0,3.0,2.0,2.0,1899.0,1112.0
1015620004.0,40.7744592,-73.9507747,C7,4.0,2000.0,7750.0,5.0,8.0,10.0,1920.0,1550.0
1015630144.0,40.7751038,-73.9498427,C1,2.0,2043.0,5700.0,4.0,8.0,8.0,1910.0,1425.0
1015630002.0,40.7749723,-73.9503916,C7,4.0,2100.0,8875.0,5.0,16.0,18.0,1915.0,1775.0
1015630040.0,40.7749609,-73.9495034,B1,1.0,1703.0,2304.0,2.0,2.0,2.0,1899.0,1152.0
1015620144.0,40.7745414,-73.9504894,D1,3.0,2656.0,16380.0,9.0,27.0,27.0,1930.0,1820.0
1015620041.0,40.7744095,-73.9501717,C1,2.0,2554.0,8845.0,5.5,10.0,10.0,1915.0,1608.1818181818182
1015620046.0,40.7746403,-73.9506445,C7,4.0,2000.0,7750.0,5.0,8.0,9.0,1930.0,1550.0
1015630015.0,40.7745684,-73.9493556,O2,5.0,2554.0,12270.0,5.0,0.0,1.0,1905.0,2454.0
1015630041.0,40.7749801,-73.9495503,M3,8.0,1447.0,2332.0,3.0,0.0,1.0,1905.0,777.3333333333334
1015630009.0,40.7747524,-73.9497888,C1,2.0,5108.0,18510.0,5.0,40.0,40.0,1910.0,3702.0
1015630044.0,40.7750763,-73.9497777,C1,2.0,2043.0,6000.0,4.0,8.0,8.0,1910.0,1500.0
1015630008.0,40.7748074,-73.9499223,D1,3.0,3405.0,16572.0,6.0,25.0,25.0,1990.0,2762.0
1015630045.0,40.7751285,-73.9499076,A4,1.0,2043.0,6113.0,5.0,1.0,1.0,1880.0,1222.6
1015630139.0,40.7749389,-73.9494529,B1,1.0,1073.0,2304.0,2.0,2.0,2.0,1890.0,1152.0
1015620048.0,40.7745195,-73.9507313,C7,4.0,2000.0,7750.0,5.0,13.0,15.0,1915.0,1550.0
1015630005.0,40.7748651,-73.9500631,D3,3.0,5789.0,28900.0,6.0,37.0,37.0,1915.0,4816.666666666667
1015630018.0,40.7744722,-73.9491283,C1,2.0,2563.0,9750.0,5.0,10.0,10.0,1910.0,1950.0
1015620007.0,40.77419,-73.9504319,C1,2.0,2554.0,8020.0,5.0,16.0,16.0,1910.0,1604.0
1015620014.0,40.7739593,-73.9498796,C1,2.0,2554.0,8555.0,5.0,20.0,20.0,1905.0,1711.0
1015620010.0,40.7740911,-73.9501972,C6,2.0,2554.0,8020.0,5.0,16.0,16.0,1910.0,1604.0
1015620016.0,40.7738906,-73.9497208,D1,3.0,2554.0,10000.0,6.0,17.0,17.0,1910.0,1666.6666666666667
1015620021.0,40.7735582,-73.9492156,C7,4.0,2089.0,8882.0,5.0,8.0,10.0,1910.0,1776.4
1015620034.0,40.774176,-73.9496195,C1,2.0,2554.0,8345.0,5.0,10.0,10.0,1930.0,1669.0
1015620008.0,40.7741571,-73.9503561,C1,2.0,2554.0,8020.0,5.0,20.0,20.0,1910.0,1604.0
1015620018.0,40.7738246,-73.949562,D4,3.0,2554.0,10560.0,5.0,14.0,14.0,1910.0,2112.0
1015620011.0,40.7740582,-73.9501142,C1,2.0,2554.0,8020.0,5.0,20.0,20.0,1910.0,1604.0
1015630029.0,40.7746256,-73.9484385,C7,4.0,2146.0,9030.0,5.0,8.0,11.0,1915.0,1806.0
1015620019.0,40.7737559,-73.9493996,D3,3.0,7777.0,23910.0,5.0,33.0,33.0,1920.0,4782.0
1015620037.0,40.7742749,-73.9498541,C6,2.0,2554.0,8345.0,5.0,22.0,22.0,1930.0,1669.0
1015620005.0,40.7742587,-73.9505907,D4,3.0,7764.0,32690.0,5.0,55.0,55.0,1910.0,6538.0
1015620033.0,40.774143,-73.9495401,C1,2.0,2554.0,8345.0,5.0,22.0,22.0,1910.0,1669.0
1015620036.0,40.7742419,-73.9497747,C1,2.0,2554.0,8345.0,5.0,12.0,12.0,1930.0,1669.0
1015620013.0,40.7739922,-73.949959,C1,2.0,2554.0,8020.0,5.0,17.0,17.0,1910.0,1604.0
1015620040.0,40.7743765,-73.9500923,C1,2.0,2554.0,7845.0,5.0,20.0,20.0,1930.0,1569.0
1015620009.0,40.7741241,-73.9502767,C6,2.0,2554.0,8020.0,5.0,22.0,22.0,1910.0,1604.0
1015630141.0,40.7750021,-73.9496008,A9,1.0,1831.0,2040.0,2.0,1.0,1.0,1890.0,1020.0
1015630020.0,40.774409,-73.9489803,D7,4.0,6713.0,54482.0,19.0,69.0,70.0,1985.0,2867.4736842105262
1015630042.0,40.7750241,-73.9496586,A9,1.0,1830.0,2040.0,2.0,1.0,1.0,1899.0,1020.0
1015630038.0,40.7748867,-73.9493301,A9,1.0,2529.0,3313.0,4.0,1.0,1.0,1899.0,828.25
1015620035.0,40.7742089,-73.9496989,C1,2.0,2554.0,8345.0,5.0,16.0,16.0,1930.0,1669.0
1015630011.0,40.7746508,-73.9495542,C1,2.0,10217.0,36920.0,5.0,87.0,87.0,1910.0,7384.0
1015630017.0,40.7745024,-73.9492004,C1,2.0,2554.0,9456.0,5.0,22.0,22.0,1910.0,1891.2
1015630026.0,40.7744417,-73.9485723,C7,4.0,1975.0,7900.0,5.0,8.0,9.0,1915.0,1580.0
1015630030.0,40.7746312,-73.9487274,C4,2.0,2043.0,6835.0,5.0,10.0,10.0,1915.0,1367.0
1015630043.0,40.7750488,-73.9497163,C3,2.0,2043.0,6545.0,5.0,4.0,4.0,1925.0,1309.0
1015800014.0,40.7736534,-73.9471901,C6,2.0,2554.0,9185.0,5.0,15.0,15.0,1925.0,1837.0
1015800050.0,40.7743344,-73.9479369,C7,4.0,1849.0,7675.0,5.0,8.0,9.0,1920.0,1535.0
1015800003.0,40.7740875,-73.9481176,C7,4.0,1869.0,7700.0,5.0,16.0,17.0,1910.0,1540.0
1015630023.0,40.7742552,-73.9487024,C7,4.0,1951.0,7840.0,5.0,8.0,10.0,1915.0,1568.0
1015630003.0,40.7750326,-73.9503482,C7,4.0,2100.0,8875.0,5.0,16.0,17.0,1915.0,1775.0
1015630037.0,40.7748538,-73.9492507,D1,3.0,2580.0,10470.0,6.0,20.0,20.0,1987.0,1745.0
1015620029.0,40.7740084,-73.9492225,C1,2.0,2605.0,8515.0,5.0,21.0,21.0,1906.0,1703.0
1015630032.0,40.7747548,-73.9490233,D4,3.0,12140.0,93016.0,12.0,95.0,95.0,1964.0,7751.333333333333
1015620030.0,40.7740413,-73.9493019,C1,2.0,2554.0,8345.0,5.0,20.0,20.0,1930.0,1669.0
1015630129.0,40.7746037,-73.9486624,C4,2.0,2043.0,8202.0,5.0,10.0,10.0,1920.0,1640.4
1015790049.0,40.773577,-73.9482444,D4,3.0,21925.0,255420.0,21.0,189.0,189.0,1965.0,12162.857142857143
1015800012.0,40.7737221,-73.9473489,C1,2.0,2554.0,9185.0,5.0,15.0,15.0,1920.0,1837.0
1015630121.0,40.7743513,-73.9488395,C4,2.0,2043.0,6915.0,5.0,7.0,7.0,1920.0,1383.0
1015630028.0,40.7745597,-73.9484855,C7,4.0,1975.0,7900.0,5.0,13.0,15.0,1915.0,1580.0
1015630025.0,40.7743786,-73.948612,C7,4.0,1951.0,7395.0,5.0,8.0,10.0,1880.0,1479.0
1015800148.0,40.774241,-73.9477962,D3,3.0,2546.0,9250.0,5.0,14.0,14.0,1910.0,1850.0
1015790008.0,40.7732119,-73.9481147,C6,2.0,3031.0,9324.0,4.0,9.0,9.0,1905.0,2331.0
1015800017.0,40.7735545,-73.9469519,C1,2.0,2554.0,9185.0,5.0,15.0,15.0,1915.0,1837.0
1015800015.0,40.7736204,-73.9471107,C1,2.0,2554.0,9185.0,5.0,16.0,16.0,1910.0,1837.0
1015620023.0,40.7736844,-73.9491216,C1,2.0,2046.0,8055.0,5.0,18.0,18.0,1910.0,1611.0
1015630031.0,40.7746587,-73.948796,C6,2.0,2574.0,9225.0,5.0,20.0,20.0,1910.0,1845.0
1015790040.0,40.7732995,-73.9475478,C1,2.0,2554.0,8120.0,5.0,11.0,11.0,1910.0,1624.0
1015790041.0,40.7733324,-73.9476308,C1,2.0,2554.0,8120.0,5.0,20.0,20.0,1910.0,1624.0
1015790042.0,40.7733654,-73.9477102,C1,2.0,2554.0,8445.0,5.0,12.0,12.0,1910.0,1689.0
1015790044.0,40.7734341,-73.947869,C6,2.0,2554.0,10830.0,5.0,20.0,20.0,1910.0,2166.0
1015790138.0,40.7732335,-73.9473962,C1,2.0,2550.0,8164.0,5.0,10.0,10.0,1900.0,1632.8
1015800005.0,40.7739529,-73.9479011,C1,2.0,2554.0,9190.0,5.0,15.0,15.0,1910.0,1838.0
